time,open,high,low,close,tick_volume,spread,real_volume,mma_20
2022-04-19,115687.0,115687.0,114277.0,115057.0,1846419,0,1054563600,118291.45
2022-04-20,115057.0,115057.0,113946.0,114344.0,1833439,0,1074774900,118145.05
2022-04-22,114343.0,114343.0,110591.0,111078.0,2099178,0,1087688100,117826.1
2022-04-25,111077.0,111155.0,109222.0,110685.0,1932576,0,1109827700,117407.7
2022-04-26,110684.0,110685.0,107978.0,108213.0,2222547,0,1174313000,116864.3
2022-04-27,108215.0,110108.0,108215.0,109349.0,1851720,0,1151569000,116394.85
2022-04-28,109349.0,110702.0,108906.0,109919.0,1776629,0,1112975200,115890.1
2022-04-29,109924.0,111819.0,107876.0,107876.0,2163838,0,1366216000,115270.9
2022-05-02,107876.0,107884.0,105218.0,106639.0,2309976,0,1195296300,114602.9
2022-05-03,106640.0,107127.0,106033.0,106528.0,1894921,0,993548700,113850.8
2022-05-04,106529.0,108382.0,104933.0,108344.0,2364269,0,1455837000,113204.0
2022-05-05,108337.0,108337.0,103923.0,105304.0,2478187,0,1381048800,112524.95
2022-05-06,105303.0,106268.0,103984.0,105135.0,2381813,0,1413771900,111870.3
2022-05-09,105109.0,105109.0,102768.0,103250.0,2440448,0,1319660100,111089.7
2022-05-10,103253.0,104286.0,102386.0,103110.0,4235401,0,2705597900,110329.1
2022-05-11,103110.0,105374.0,103008.0,104397.0,2059591,0,1342481100,109701.3
2022-05-12,104396.0,105708.0,103579.0,105688.0,2037079,0,1399561100,109178.35
2022-05-13,105691.0,107773.0,105691.0,106924.0,1895458,0,1237493400,108685.45
2022-05-16,106925.0,108795.0,106852.0,108233.0,1757160,0,1059686400,108288.0
2022-05-17,108246.0,109774.0,108245.0,108789.0,2172267,0,1650820800,107943.1
2022-05-18,108788.0,108923.0,106038.0,106247.0,2207287,0,1475201500,107502.6
2022-05-19,106249.0,107420.0,105760.0,107005.0,1747157,0,1142637600,107135.65
2022-05-20,107056.0,108795.0,107056.0,108488.0,1859016,0,1286904400,107006.15
2022-05-23,108500.0,110680.0,108500.0,110346.0,2221103,0,1070195200,106989.2
2022-05-24,110340.0,110635.0,108399.0,110581.0,2151247,0,1172614900,107107.6
